Index,Date,Time,Counter,FbLoad,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd
0,44713.63767,0,58917538,1.96332,1.652886,-0.813465,-0.82091,21.988907,0.368544,2.336079,0.206116,0.00206116,-0.009175,0.196929,0.00196929,-0.817188
1,44713.63767,0.122701,58917538,1.966373,1.661804,-0.813315,-0.820746,21.989055,0.368911,2.338355,0.206267,0.00206267,-0.009175,0.197054,0.00197054,-0.81704
2,44713.63768,0.372701,58917539,1.981512,1.639622,-0.81355,-0.821042,21.988981,0.368383,2.337305,0.206174,0.00206174,-0.009266,0.196999,0.00196999,-0.817186
3,44713.63768,0.622701,58917539,1.962976,1.60059,-0.814357,-0.821962,21.988981,0.366758,2.290494,0.205396,0.00205396,-0.009175,0.196129,0.00196129,-0.817939
4,44713.63768,0.872701,58917539,1.923949,1.564989,-0.815132,-0.822455,21.988834,0.365309,2.23027,0.204216,0.00204216,-0.009175,0.195041,0.00195041,-0.818532
5,44713.63769,1.122701,58917539,1.891532,1.556441,-0.815318,-0.822718,21.988981,0.364946,2.19708,0.203445,0.00203445,-0.009083,0.194362,0.00194362,-0.819072
6,44713.63769,1.372701,58917540,1.880757,1.572632,-0.81501,-0.822324,21.988907,0.365535,2.21232,0.20394,0.0020394,-0.009175,0.19479,0.0019479,-0.818772
7,44713.63769,1.622701,58917540,1.904825,1.598735,-0.814467,-0.821502,21.989055,0.366556,2.244198,0.204664,0.00204664,-0.009175,0.195506,0.00195506,-0.818207
8,44713.63769,1.872701,58917540,1.948651,1.624869,-0.813953,-0.821206,21.988981,0.367561,2.294158,0.205384,0.00205384,-0.009175,0.196118,0.00196118,-0.817605
9,44713.6377,2.122701,58917540,1.972667,1.652423,-0.813524,-0.820812,21.989055,0.368474,2.3256,0.206019,0.00206019,-0.009266,0.196752,0.00196752,-0.81727
10,44713.6377,2.372701,58917541,1.983601,1.649256,-0.813545,-0.821107,21.988981,0.368387,2.336654,0.206087,0.00206087,-0.009175,0.196855,0.00196855,-0.817263
11,44713.6377,2.622701,58917541,1.977868,1.621207,-0.813995,-0.821239,21.988981,0.367472,2.312323,0.205584,0.00205584,-0.009266,0.19635,0.0019635,-0.817574
12,44713.63771,2.872701,58917541,1.94263,1.591317,-0.814657,-0.822258,21.988907,0.366224,2.260622,0.204671,0.00204671,-0.009083,0.195588,0.00195588,-0.818214
13,44713.63771,3.122701,58917541,1.904033,1.557973,-0.815232,-0.822652,21.988981,0.365102,2.21153,0.203974,0.00203974,-0.009175,0.194891,0.00194891,-0.818785
14,44713.63771,3.372701,58917542,1.89628,1.556027,-0.8153,-0.822521,21.988907,0.364821,2.193533,0.203471,0.00203471,-0.008991,0.194455,0.00194455,-0.819
15,44713.63771,3.622701,58917542,1.9079,1.578725,-0.814791,-0.822192,21.988981,0.365825,2.23001,0.204033,0.00204033,-0.009175,0.19495,0.0019495,-0.818469
16,44713.63772,3.872701,58917542,1.935328,1.614008,-0.814158,-0.821568,21.988907,0.367101,2.277111,0.205137,0.00205137,-0.009175,0.195956,0.00195956,-0.817888
17,44713.63772,4.122701,58917542,1.975716,1.646771,-0.813577,-0.820746,21.989055,0.368374,2.31385,0.206009,0.00206009,-0.009266,0.196742,0.00196742,-0.817277
18,44713.63772,4.372701,58917543,1.975444,1.645935,-0.813442,-0.821042,21.988981,0.368614,2.336956,0.206191,0.00206191,-0.009175,0.196976,0.00196976,-0.817178
19,44713.63773,4.622701,58917543,1.973413,1.628835,-0.813864,-0.821436,21.988981,0.36769,2.311808,0.205692,0.00205692,-0.009175,0.196517,0.00196517,-0.817568
20,44713.63773,4.872701,58917543,1.953172,1.597478,-0.81448,-0.821929,21.988907,0.366532,2.272999,0.204976,0.00204976,-0.009083,0.195985,0.00195985,-0.818
21,44713.63773,5.122701,58917543,1.926722,1.567703,-0.815047,-0.822422,21.988907,0.365378,2.228713,0.20409,0.0020409,-0.009175,0.194915,0.00194915,-0.818698
22,44713.63773,5.372701,58917544,1.901611,1.557187,-0.815252,-0.822554,21.988981,0.364965,2.204045,0.20362,0.0020362,-0.009083,0.19459,0.0019459,-0.818962
23,44713.63774,5.622701,58917544,1.893568,1.554199,-0.815257,-0.822521,21.988981,0.364966,2.20451,0.20361,0.0020361,-0.009175,0.194435,0.00194435,-0.819001
24,44713.63774,5.872701,58917544,1.889251,1.557805,-0.815288,-0.822587,21.988907,0.365024,2.206064,0.203732,0.00203732,-0.009175,0.194584,0.00194584,-0.818981
25,44713.63774,6.122701,58917544,1.892887,1.556236,-0.815265,-0.822619,21.988907,0.365024,2.204808,0.203579,0.00203579,-0.008991,0.194547,0.00194547,-0.818895
26,44713.63775,6.372701,58917545,1.894006,1.55182,-0.81529,-0.822751,21.988907,0.365061,2.199559,0.203688,0.00203688,-0.009083,0.194618,0.00194618,-0.818957
27,44713.63775,6.622701,58917545,1.894415,1.553964,-0.815284,-0.822422,21.988834,0.364963,2.197118,0.203646,0.00203646,-0.009083,0.194522,0.00194522,-0.818871
28,44713.63775,6.872701,58917545,1.893392,1.555272,-0.815299,-0.822422,21.988907,0.365005,2.199094,0.203551,0.00203551,-0.009083,0.194468,0.00194468,-0.818994
29,44713.63776,7.122701,58917545,1.893406,1.554281,-0.815321,-0.822751,21.988981,0.364952,2.196992,0.203649,0.00203649,-0.008991,0.194658,0.00194658,-0.818901
30,44713.63776,7.372701,58917546,1.90001,1.554424,-0.815312,-0.822685,21.988907,0.364946,2.198408,0.203474,0.00203474,-0.009175,0.194348,0.00194348,-0.819018
31,44713.63776,7.622701,58917546,1.904374,1.550132,-0.815301,-0.822817,21.988907,0.364978,2.202019,0.203517,0.00203517,-0.009083,0.194415,0.00194415,-0.819035
32,44713.63776,7.872701,58917546,1.895692,1.559905,-0.815307,-0.822455,21.988907,0.365037,2.20247,0.203699,0.00203699,-0.009175,0.194572,0.00194572,-0.818861
33,44713.63777,8.122701,58917546,1.892444,1.5545,-0.815307,-0.822619,21.988907,0.365071,2.20365,0.203522,0.00203522,-0.009083,0.194439,0.00194439,-0.819025
34,44713.63777,8.372701,58917547,1.884683,1.559424,-0.815298,-0.822554,21.988834,0.364964,2.204322,0.203512,0.00203512,-0.009175,0.194337,0.00194337,-0.819025
35,44713.63777,8.622701,58917547,1.894783,1.555697,-0.815299,-0.822488,21.988834,0.364987,2.202312,0.203618,0.00203618,-0.009083,0.194542,0.00194542,-0.81901
36,44713.63778,8.872701,58917547,1.904399,1.557234,-0.815311,-0.822652,21.988907,0.365004,2.2067,0.203607,0.00203607,-0.009175,0.194615,0.00194615,-0.818959
37,44713.63778,9.122701,58917547,1.917676,1.561542,-0.815302,-0.822718,21.988907,0.365053,2.207541,0.203683,0.00203683,-0.009083,0.194508,0.00194508,-0.819029
38,44713.63778,9.372701,58917548,1.910462,1.561378,-0.815291,-0.822521,21.988981,0.365001,2.20557,0.203738,0.00203738,-0.009175,0.194598,0.00194598,-0.818867
39,44713.63778,9.622701,58917548,1.896805,1.557116,-0.815294,-0.822455,21.988981,0.364985,2.199755,0.203736,0.00203736,-0.008991,0.194641,0.00194641,-0.818854
40,44713.63779,9.872701,58917548,1.904834,1.553495,-0.815288,-0.822718,21.988981,0.364942,2.205782,0.203624,0.00203624,-0.009175,0.194452,0.00194452,-0.818946
41,44713.63779,10.122701,58917548,1.904867,1.556306,-0.815295,-0.822587,21.988907,0.365044,2.203562,0.20363,0.0020363,-0.008991,0.194614,0.00194614,-0.81896
42,44713.63779,10.372701,58917549,1.887098,1.555612,-0.815312,-0.822554,21.988907,0.365042,2.20227,0.203597,0.00203597,-0.009175,0.194423,0.00194423,-0.819002
43,44713.6378,10.622701,58917549,1.891274,1.556863,-0.815299,-0.822587,21.988907,0.365001,2.200323,0.20366,0.0020366,-0.009083,0.194577,0.00194577,-0.818859
44,44713.6378,10.872701,58917549,1.893707,1.555524,-0.815284,-0.822685,21.988907,0.364989,2.200027,0.203605,0.00203605,-0.009083,0.194522,0.00194522,-0.81894
45,44713.6378,11.122701,58917549,1.893164,1.554382,-0.815284,-0.822587,21.988834,0.365055,2.206428,0.203692,0.00203692,-0.008991,0.194701,0.00194701,-0.818894
46,44713.6378,11.372701,58917550,1.890599,1.553404,-0.815297,-0.822554,21.988981,0.365075,2.208132,0.203623,0.00203623,-0.009175,0.194449,0.00194449,-0.818977
47,44713.63781,11.622701,58917550,1.887309,1.554429,-0.815303,-0.822652,21.988907,0.365012,2.198432,0.203677,0.00203677,-0.009083,0.194594,0.00194594,-0.818909
48,44713.63781,11.872701,58917550,1.896964,1.550757,-0.815292,-0.822587,21.988907,0.364951,2.200101,0.203555,0.00203555,-0.008991,0.194519,0.00194519,-0.818995
49,44713.63781,12.122701,58917550,1.891667,1.556693,-0.815275,-0.822718,21.988907,0.364994,2.205411,0.203677,0.00203677,-0.009175,0.194576,0.00194576,-0.818946
50,44713.63782,12.372701,58917551,1.892679,1.561176,-0.8153,-0.822488,21.988907,0.365,2.201651,0.203695,0.00203695,-0.008991,0.194726,0.00194726,-0.818817
51,44713.63782,12.622701,58917551,1.892942,1.560039,-0.815285,-0.822685,21.988834,0.365055,2.203489,0.203525,0.00203525,-0.008991,0.194523,0.00194523,-0.819016
52,44713.63782,12.872701,58917551,1.889953,1.557002,-0.815277,-0.822455,21.988907,0.365009,2.199676,0.203628,0.00203628,-0.009083,0.194637,0.00194637,-0.818869
53,44713.63782,13.122701,58917551,1.896572,1.558568,-0.815281,-0.822751,21.988907,0.365007,2.209115,0.20357,0.0020357,-0.008991,0.194465,0.00194465,-0.819064
54,44713.63783,13.372701,58917552,1.901425,1.555597,-0.815296,-0.822521,21.988907,0.365029,2.204954,0.203651,0.00203651,-0.009083,0.194499,0.00194499,-0.818928
55,44713.63783,13.622701,58917552,1.897209,1.55635,-0.815281,-0.822422,21.988907,0.364955,2.200352,0.20368,0.0020368,-0.009083,0.194597,0.00194597,-0.81887
56,44713.63783,13.872701,58917552,1.887077,1.553942,-0.815311,-0.822652,21.988834,0.364979,2.203807,0.203559,0.00203559,-0.008991,0.194537,0.00194537,-0.819014
57,44713.63784,14.122701,58917552,1.886268,1.559795,-0.81531,-0.822652,21.988834,0.365,2.20349,0.20358,0.0020358,-0.009175,0.194405,0.00194405,-0.818978
58,44713.63784,14.372701,58917553,1.897897,1.560997,-0.815292,-0.822554,21.988907,0.365008,2.208335,0.203645,0.00203645,-0.009083,0.194562,0.00194562,-0.818932
59,44713.63784,14.622701,58917553,1.900037,1.559983,-0.815323,-0.822554,21.988907,0.364954,2.206629,0.203817,0.00203817,-0.009083,0.194755,0.00194755,-0.818831
60,44713.63784,14.872701,58917553,1.891414,1.556166,-0.815324,-0.822422,21.988907,0.36498,2.201659,0.203781,0.00203781,-0.008991,0.194789,0.00194789,-0.818837
61,44713.63785,15.122701,58917553,1.889622,1.562147,-0.815313,-0.822718,21.988907,0.365077,2.205483,0.20363,0.0020363,-0.009175,0.194498,0.00194498,-0.818943
62,44713.63785,15.372701,58917554,1.892227,1.561165,-0.815316,-0.822685,21.988981,0.364907,2.208278,0.203548,0.00203548,-0.008899,0.194648,0.00194648,-0.819
