Index,Date,Time,Counter,FbLoad,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Gemidd
0,44714.40247,0,58983617,0.104858,-0.313498,-0.895743,-0.896544,22.180992,0.210656,-0.442165,0.093765,0.00093765,-0.248177,-0.154595,-0.896143
1,44714.40247,0.178701,58983617,0.091996,-0.322493,-0.897875,-0.897563,22.181066,0.207204,-0.449386,0.091834,0.00091834,-0.248177,-0.156526,-0.897386
2,44714.40247,0.428701,58983617,0.064986,-0.324205,-0.897884,-0.897563,22.180992,0.207334,-0.461385,0.090578,0.00090578,-0.24836,-0.157657,-0.897991
3,44714.40247,0.678701,58983617,0.08173,-0.304795,-0.894885,-0.895689,22.181066,0.21203,-0.434993,0.093199,0.00093199,-0.248177,-0.155161,-0.895942
4,44714.40248,0.928701,58983617,0.105267,-0.272497,-0.891354,-0.893717,22.181066,0.217557,-0.398456,0.097291,0.00097291,-0.248269,-0.150886,-0.893106
5,44714.40248,1.178701,58983618,0.136445,-0.231172,-0.888623,-0.891613,22.18114,0.222541,-0.34817,0.100844,0.00100844,-0.248177,-0.147517,-0.890435
6,44714.40248,1.428701,58983618,0.163812,-0.211753,-0.887253,-0.8902,22.181066,0.225289,-0.307411,0.103692,0.00103692,-0.24836,-0.144577,-0.888797
7,44714.40249,1.678701,58983618,0.172087,-0.221929,-0.887525,-0.890792,22.18114,0.224697,-0.300238,0.10389,0.0010389,-0.248269,-0.144348,-0.888761
8,44714.40249,1.928701,58983618,0.16897,-0.255315,-0.889461,-0.892567,22.180992,0.220973,-0.340973,0.101876,0.00101876,-0.248269,-0.146209,-0.890535
9,44714.40249,2.178701,58983619,0.132399,-0.289731,-0.892919,-0.8949,22.180992,0.215208,-0.39737,0.098015,0.00098015,-0.248177,-0.150345,-0.893242
10,44714.40249,2.428701,58983619,0.094977,-0.311076,-0.896403,-0.896872,22.180992,0.209519,-0.434578,0.094013,0.00094013,-0.248269,-0.154072,-0.896112
11,44714.4025,2.678701,58983619,0.070831,-0.327863,-0.898101,-0.897859,22.181066,0.206855,-0.459548,0.091066,0.00091066,-0.248269,-0.157306,-0.897874
12,44714.4025,2.928701,58983619,0.068916,-0.317775,-0.8969,-0.896938,22.181066,0.208752,-0.459881,0.091336,0.00091336,-0.248269,-0.156932,-0.897346
13,44714.4025,3.178701,58983620,0.071468,-0.292652,-0.893402,-0.894867,22.181066,0.214406,-0.425588,0.094774,0.00094774,-0.248177,-0.153494,-0.894771
14,44714.40251,3.428701,58983620,0.103228,-0.253063,-0.890006,-0.892599,22.181066,0.219916,-0.373411,0.098918,0.00098918,-0.248269,-0.149259,-0.891824
15,44714.40251,3.678701,58983620,0.14741,-0.218084,-0.887801,-0.89066,22.18114,0.224254,-0.324802,0.102304,0.00102304,-0.248269,-0.146057,-0.889559
16,44714.40251,3.928701,58983620,0.176513,-0.220224,-0.88776,-0.890923,22.181066,0.224306,-0.308457,0.103308,0.00103308,-0.24836,-0.145053,-0.889168
17,44714.40251,4.178701,58983621,0.171975,-0.251035,-0.889157,-0.892336,22.18114,0.221562,-0.335017,0.102146,0.00102146,-0.24836,-0.146398,-0.890402
18,44714.40252,4.428701,58983621,0.146797,-0.287018,-0.892313,-0.894539,22.18114,0.216178,-0.38388,0.098751,0.00098751,-0.248177,-0.149334,-0.892858
19,44714.40252,4.678701,58983621,0.112346,-0.310919,-0.89575,-0.896544,22.181066,0.210682,-0.42717,0.094499,0.00094499,-0.248269,-0.15377,-0.895579
20,44714.40252,4.928701,58983621,0.086571,-0.327714,-0.897991,-0.897694,22.180992,0.207146,-0.455997,0.091548,0.00091548,-0.24836,-0.156904,-0.897643
21,44714.40253,5.178701,58983622,0.085678,-0.321015,-0.897281,-0.896971,22.181066,0.208292,-0.458282,0.091088,0.00091088,-0.248177,-0.157088,-0.897451
22,44714.40253,5.428701,58983622,0.082154,-0.292551,-0.894186,-0.895295,22.181066,0.21323,-0.432353,0.093748,0.00093748,-0.248269,-0.154612,-0.895308
23,44714.40253,5.678701,58983622,0.102688,-0.260507,-0.890728,-0.893158,22.181213,0.218851,-0.390557,0.097724,0.00097724,-0.248269,-0.150453,-0.892684
24,44714.40254,5.928701,58983622,0.139299,-0.226898,-0.888256,-0.891153,22.181066,0.223328,-0.337216,0.10153,0.0010153,-0.248177,-0.146922,-0.890244
25,44714.40254,6.178701,58983623,0.156733,-0.225733,-0.887578,-0.890463,22.18114,0.224659,-0.313278,0.103391,0.00103391,-0.24836,-0.144877,-0.889001
26,44714.40254,6.428701,58983623,0.164462,-0.245308,-0.888842,-0.892205,22.180992,0.222187,-0.331998,0.102618,0.00102618,-0.248269,-0.145834,-0.889901
27,44714.40254,6.678701,58983623,0.135755,-0.278594,-0.891816,-0.894374,22.181066,0.216987,-0.370292,0.099276,0.00099276,-0.248269,-0.148809,-0.892291
28,44714.40255,6.928701,58983623,0.10872,-0.312076,-0.89525,-0.896314,22.180992,0.211492,-0.42635,0.095391,0.00095391,-0.248177,-0.152969,-0.89514
29,44714.40255,7.178701,58983624,0.075162,-0.325737,-0.897761,-0.897366,22.180992,0.207453,-0.455973,0.091615,0.00091615,-0.248177,-0.156649,-0.897414
30,44714.40255,7.428701,58983624,0.06931,-0.321792,-0.897515,-0.897366,22.181066,0.207944,-0.464851,0.091364,0.00091364,-0.24836,-0.15694,-0.897489
31,44714.40256,7.678701,58983624,0.079069,-0.301595,-0.895165,-0.895755,22.181066,0.211665,-0.436024,0.093514,0.00093514,-0.248085,-0.154847,-0.895819
32,44714.40256,7.928701,58983624,0.100681,-0.278467,-0.892165,-0.89421,22.180992,0.21634,-0.395829,0.096745,0.00096745,-0.248269,-0.15134,-0.8934
33,44714.40256,8.178701,58983625,0.115901,-0.253395,-0.889753,-0.892468,22.181066,0.220421,-0.367483,0.099964,0.00099964,-0.248177,-0.148396,-0.89126
34,44714.40256,8.428701,58983625,0.15286,-0.234146,-0.888501,-0.891416,22.180992,0.222891,-0.33129,0.101928,0.00101928,-0.248452,-0.146271,-0.889957
35,44714.40257,8.678701,58983625,0.164783,-0.232631,-0.888488,-0.891317,22.18114,0.22283,-0.324835,0.102321,0.00102321,-0.248177,-0.145988,-0.889952
