Index,Date,Time,Counter,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Axial Strain (%),Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd,,Derivatives
2571,44655.40473,642.772853,58351880,0.156557,-0.931716,-0.926916,22.218952,0.143664,0.20983,0.188081,0.00188081,0,0.188081,0.00188081,-0.929696,,4951.258112
2572,44655.40473,643.022853,58351880,0.160522,-0.931571,-0.926948,22.218805,0.143971,0.229683,0.188701,0.00188701,0,0.188745,0.00188745,-0.929194,,3703.243468
2573,44655.40473,643.272853,58351880,0.17389,-0.931375,-0.926685,22.218952,0.144481,0.232161,0.188879,0.00188879,-0.000093,0.188815,0.00188815,-0.929085,,3817.291252
2574,44655.40474,643.522853,58351881,0.160314,-0.931455,-0.927146,22.218805,0.144355,0.232808,0.188906,0.00188906,0,0.188961,0.00188961,-0.929088,,3831.515812
2575,44655.40474,643.772853,58351881,0.167787,-0.93134,-0.926685,22.218952,0.14459,0.243869,0.189074,0.00189074,-0.000093,0.188981,0.00188981,-0.929066,,3680.510745
2576,44655.40474,644.022853,58351881,0.1594,-0.931348,-0.926784,22.218731,0.144532,0.24894,0.189237,0.00189237,-0.000093,0.189144,0.00189144,-0.929093,,3776.425471
2577,44655.40475,644.272853,58351881,0.169424,-0.9312,-0.926488,22.218952,0.144844,0.235295,0.189113,0.00189113,0,0.189179,0.00189179,-0.928979,,3859.951319
2578,44655.40475,644.522853,58351882,0.16839,-0.931145,-0.926258,22.218805,0.144926,0.237806,0.189117,0.00189117,-0.000093,0.189071,0.00189071,-0.928976,,3782.132861
2579,44655.40475,644.772853,58351882,0.174167,-0.93105,-0.926357,22.218952,0.145295,0.254028,0.189383,0.00189383,-0.000093,0.18929,0.0018929,-0.928619,,3720.676604
2580,44655.40475,645.022853,58351882,0.195383,-0.930751,-0.925535,22.218731,0.145981,0.273611,0.189988,0.00189988,-0.000093,0.189895,0.00189895,-0.92835,,3774.160222
2581,44655.40476,645.272853,58351882,0.191526,-0.930742,-0.925831,22.218878,0.146055,0.279265,0.190229,0.00190229,0,0.190115,0.00190115,-0.928135,,3789.498292
2582,44655.40476,645.522853,58351883,0.197366,-0.93052,-0.925436,22.218878,0.146599,0.288509,0.190489,0.00190489,-0.000186,0.190378,0.00190378,-0.927936,,3810.792103
2583,44655.40476,645.772853,58351883,0.189834,-0.930611,-0.925831,22.218952,0.146426,0.291463,0.190557,0.00190557,0,0.190509,0.00190509,-0.927976,,3826.485935
2584,44655.40477,646.022853,58351883,0.195886,-0.930487,-0.925535,22.218878,0.14662,0.296587,0.190717,0.00190717,-0.000093,0.190559,0.00190559,-0.927806,,3891.761262
2585,44655.40477,646.272853,58351883,0.190607,-0.93056,-0.925601,22.218952,0.146424,0.29048,0.190519,0.00190519,-0.000093,0.190377,0.00190377,-0.928079,,3877.555878
2586,44655.40477,646.522853,58351884,0.196852,-0.930459,-0.925338,22.218805,0.146703,0.289226,0.190585,0.00190585,0,0.190455,0.00190455,-0.927921,,3960.735076
2587,44655.40477,646.772853,58351884,0.206603,-0.930305,-0.925042,22.218878,0.147099,0.292314,0.190677,0.00190677,-0.000186,0.190577,0.00190577,-0.927856,,3946.403425
2588,44655.40478,647.022853,58351884,0.218728,-0.930116,-0.924746,22.218878,0.147576,0.30442,0.191029,0.00191029,0,0.190887,0.00190887,-0.927597,,3924.22578
2589,44655.40478,647.272853,58351884,0.221335,-0.930014,-0.924417,22.218952,0.147862,0.325185,0.19138,0.0019138,0,0.19123,0.0019123,-0.927458,,3931.9194
2590,44655.40478,647.522853,58351885,0.20981,-0.930045,-0.924779,22.218878,0.147659,0.309177,0.191199,0.00191199,-0.000186,0.191034,0.00191034,-0.927465,,3978.853855
2591,44655.40479,647.772853,58351885,0.224788,-0.929877,-0.92422,22.218878,0.148251,0.324494,0.191539,0.00191539,0.000093,0.191534,0.00191534,-0.927236,,3999.058434
2592,44655.40479,648.022853,58351885,0.23202,-0.929723,-0.924056,22.218952,0.148671,0.322605,0.191627,0.00191627,0.000093,0.191638,0.00191638,-0.927232,,4044.369973
2593,44655.40479,648.272853,58351885,0.23253,-0.929635,-0.923957,22.218878,0.148839,0.348403,0.192108,0.00192108,-0.00028,0.191828,0.00191828,-0.926867,,4020.791681
2594,44655.4048,648.522853,58351886,0.241014,-0.929464,-0.923629,22.218952,0.149216,0.333437,0.191933,0.00191933,0,0.19191,0.0019191,-0.926969,,4032.213229
2595,44655.4048,648.772853,58351886,0.238357,-0.929457,-0.924056,22.218878,0.149191,0.333418,0.192023,0.00192023,-0.00028,0.191916,0.00191916,-0.926764,,4090.584108
2596,44655.4048,649.022853,58351886,0.257812,-0.929197,-0.922807,22.218952,0.149882,0.370103,0.192681,0.00192681,0,0.192488,0.00192488,-0.926621,,3989.231932
2597,44655.4048,649.272853,58351886,0.257282,-0.929104,-0.923234,22.218878,0.150228,0.385626,0.193174,0.00193174,-0.000373,0.192841,0.00192841,-0.926406,,4031.5359
2598,44655.40481,649.522853,58351887,0.239926,-0.929188,-0.923267,22.218952,0.149832,0.363571,0.192867,0.00192867,-0.000186,0.192961,0.00192961,-0.92636,,4070.138375
2599,44655.40481,649.772853,58351887,0.267478,-0.928867,-0.922807,22.218805,0.150817,0.388875,0.193445,0.00193445,0,0.193375,0.00193375,-0.925837,,4109.982436
2600,44655.40481,650.022853,58351887,0.259537,-0.928972,-0.923103,22.218952,0.150554,0.375962,0.193237,0.00193237,-0.000373,0.193045,0.00193045,-0.926016,,4136.227665
2601,44655.40482,650.272853,58351887,0.253878,-0.928922,-0.92307,22.218805,0.150666,0.383862,0.193388,0.00193388,0,0.193313,0.00193313,-0.925962,,4072.195573
2602,44655.40482,650.522853,58351888,0.244077,-0.929057,-0.923201,22.218952,0.150183,0.371642,0.19332,0.0019332,-0.000186,0.193056,0.00193056,-0.926134,,4148.147087
2603,44655.40482,650.772853,58351888,0.257382,-0.928834,-0.922938,22.218805,0.150852,0.363259,0.193177,0.00193177,0,0.193091,0.00193091,-0.925783,,4189.185693
2604,44655.40482,651.022853,58351888,0.263721,-0.928867,-0.923168,22.219026,0.150942,0.386032,0.193525,0.00193525,-0.00028,0.193245,0.00193245,-0.925809,,4202.640845
2605,44655.40483,651.272853,58351888,0.290373,-0.928446,-0.922281,22.218805,0.151983,0.390878,0.193547,0.00193547,-0.000093,0.193372,0.00193372,-0.925437,,4059.874409
2606,44655.40483,651.522853,58351889,0.297616,-0.928331,-0.921952,22.2191,0.152325,0.40886,0.194172,0.00194172,-0.000373,0.193978,0.00193978,-0.925216,,4162.051974
2607,44655.40483,651.772853,58351889,0.301624,-0.928224,-0.921656,22.218805,0.152635,0.430911,0.194584,0.00194584,-0.000093,0.194469,0.00194469,-0.925009,,4123.960455
2608,44655.40484,652.022853,58351889,0.277606,-0.928441,-0.922248,22.2191,0.15205,0.401752,0.194139,0.00194139,-0.00028,0.193889,0.00193889,-0.925368,,4282.789021
2609,44655.40484,652.272853,58351889,0.297794,-0.928198,-0.921919,22.218805,0.152661,0.410943,0.194401,0.00194401,-0.000093,0.194224,0.00194224,-0.924933,,4264.305918
2610,44655.40484,652.522853,58351890,0.290332,-0.92823,-0.921821,22.2191,0.152638,0.441627,0.194774,0.00194774,-0.00028,0.194495,0.00194495,-0.925001,,4102.725025
2611,44655.40484,652.772853,58351890,0.307488,-0.928005,-0.921459,22.218878,0.153139,0.434551,0.194777,0.00194777,0,0.194761,0.00194761,-0.924921,,4237.025583
2612,44655.40485,653.022853,58351890,0.328121,-0.927743,-0.921196,22.219026,0.154039,0.474003,0.195648,0.00195648,-0.00028,0.195387,0.00195387,-0.924284,,4214.080225
2613,44655.40485,653.272853,58351890,0.296701,-0.92807,-0.921689,22.218731,0.15297,0.445983,0.195143,0.00195143,-0.000093,0.194863,0.00194863,-0.924869,,4150.38729
2614,44655.40485,653.522853,58351891,0.334846,-0.927515,-0.92044,22.2191,0.154447,0.459231,0.195758,0.00195758,-0.000093,0.195638,0.00195638,-0.92409,,4312.47568
2615,44655.40486,653.772853,58351891,0.342195,-0.92743,-0.920407,22.218805,0.154722,0.488525,0.196121,0.00196121,-0.00028,0.195977,0.00195977,-0.923944,,4243.210166
2616,44655.40486,654.022853,58351891,0.32957,-0.92756,-0.920342,22.2191,0.154469,0.476489,0.195796,0.00195796,-0.000186,0.195634,0.00195634,-0.924178,,4248.842344
2617,44655.40486,654.272853,58351891,0.324824,-0.927516,-0.920703,22.218878,0.154562,0.475553,0.195866,0.00195866,-0.000186,0.195586,0.00195586,-0.924036,,4267.247941
2618,44655.40486,654.522853,58351892,0.348155,-0.927286,-0.920111,22.2191,0.155246,0.491402,0.196338,0.00196338,-0.00028,0.196076,0.00196076,-0.923789,,4381.643347
2619,44655.40487,654.772853,58351892,0.352633,-0.927131,-0.920013,22.218878,0.155563,0.495573,0.196455,0.00196455,-0.000186,0.196268,0.00196268,-0.923546,,4316.219631
2620,44655.40487,655.022853,58351892,0.344902,-0.927189,-0.920342,22.2191,0.155374,0.495401,0.196421,0.00196421,-0.000186,0.196212,0.00196212,-0.923745,,4236.34025
2621,44655.40487,655.272853,58351892,0.351457,-0.927122,-0.919783,22.218878,0.155696,0.516265,0.196824,0.00196824,-0.00028,0.19649,0.0019649,-0.923439,,4257.735999
2622,44655.40488,655.522853,58351893,0.350906,-0.927008,-0.919651,22.2191,0.155954,0.518364,0.196922,0.00196922,-0.000186,0.196736,0.00196736,-0.923369,,4348.087184
