Index,Date,Time,Counter,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Gemidd
0,44659.50572,0,58380692,-0.30515,-0.128089,-0.102014,22.16743,1.773619,-0.441058,1.357807,0.01357807,0.008745,1.366506,-0.115052
1,44659.50572,0.233478,58380692,-0.310268,-0.128065,-0.101784,22.167651,1.773657,-0.442303,1.358003,0.01358003,0.008466,1.366534,-0.114915
2,44659.50572,0.483478,58380692,-0.307224,-0.1281,-0.101751,22.167651,1.773691,-0.438145,1.357856,0.01357856,0.008652,1.366509,-0.114872
3,44659.50573,0.733478,58380692,-0.3037,-0.128078,-0.101718,22.167577,1.773633,-0.445738,1.357896,0.01357896,0.008466,1.366271,-0.114989
4,44659.50573,0.983478,58380692,-0.310298,-0.128071,-0.101784,22.167725,1.773606,-0.4428,1.358015,0.01358015,0.008745,1.366629,-0.11489
5,44659.50573,1.233478,58380693,-0.30499,-0.128093,-0.101718,22.167725,1.773633,-0.44321,1.357906,0.01357906,0.008373,1.366279,-0.114982
6,44659.50574,1.483478,58380693,-0.310984,-0.12809,-0.102014,22.167577,1.773728,-0.44718,1.357999,0.01357999,0.008559,1.366567,-0.114917
7,44659.50574,1.733478,58380693,-0.307663,-0.128071,-0.10185,22.167651,1.77368,-0.444111,1.357957,0.01357957,0.008373,1.366349,-0.114974
8,44659.50574,1.983478,58380693,-0.306536,-0.128094,-0.101882,22.167651,1.773658,-0.440842,1.358027,0.01358027,0.008559,1.36662,-0.114874
9,44659.50574,2.233478,58380694,-0.305049,-0.128073,-0.101652,22.167725,1.773638,-0.447311,1.357956,0.01357956,0.008466,1.366303,-0.114907
10,44659.50575,2.483478,58380694,-0.30742,-0.128062,-0.102014,22.167651,1.773752,-0.440488,1.357972,0.01357972,0.008559,1.366531,-0.115032
11,44659.50575,2.733478,58380694,-0.306017,-0.128053,-0.101882,22.167725,1.773699,-0.442998,1.357937,0.01357937,0.008652,1.366579,-0.114961
12,44659.50575,2.983478,58380694,-0.308548,-0.128062,-0.102014,22.167651,1.773648,-0.444819,1.358055,0.01358055,0.008559,1.366611,-0.11501
13,44659.50576,3.233478,58380695,-0.311091,-0.12806,-0.101652,22.167651,1.773605,-0.447189,1.358009,0.01358009,0.008559,1.366568,-0.11491
